a,b,rab_lower,rab_upper,R0_lower,R0_upper,R1_lower,R1_upper
101,116,1e-06,0.999999,0,144333.01943,0,74892.355121
102,171,0.363585,0.455603,0.040744,0.13071,0.430663,0.586679
104,198,0.084792,0.614189,0.146865,1.190409,0.235244,2.344021
105,113,0.399817,0.538574,0.021476,0.16035,0.467743,0.824716
10,77,0.543531,0.609832,0.043961,0.088895,0.794353,1.006152
111,115,0,0.999998,0,279499.107831,0,73959.987841
112,140,0.129671,0.239209,0.161352,0.360188,0.277607,0.418268
114,118,0.472141,0.559998,0.011293,0.076157,0.649635,0.89097
114,163,0.434511,0.510552,0.039451,0.098235,0.599286,0.765551
118,163,0.421919,0.508262,0.043374,0.123056,0.604334,0.81896
119,162,0.438207,0.541589,6.7e-05,0.057839,0.592301,0.863708
123,127,0.420625,0.496107,0.094063,0.170109,0.523227,0.667805
12,73,0.426414,0.498254,0.073612,0.141246,0.523047,0.659245
128,136,0.162355,0.300502,0.065642,0.241599,0.388656,0.645147
13,20,0.441502,0.512647,0.071843,0.136768,0.576559,0.72591
141,143,0.279064,0.52887,0,0.144041,0.499472,1.413487
14,126,0.186993,0.267379,0.216454,0.354834,0.295034,0.380961
144,146,0.325325,0.431109,0.09211,0.22654,0.389358,0.561027
152,178,0.334996,0.759589,0,0.25765,0.674384,4.107057
156,157,0.238876,0.332236,0.121703,0.251987,0.329021,0.451381
156,158,0.298794,0.37929,0.107193,0.209651,0.36895,0.480873
157,158,0.444007,0.53506,0.049319,0.129158,0.650821,0.895941
16,18,0.496405,0.565229,0.075487,0.133599,0.704988,0.880761
17,107,0.3926,0.511906,0.053753,0.182276,0.499733,0.776833
1,8,0.4853,0.553003,0.049761,0.10447,0.608799,0.773731
19,92,0.44748,0.518582,0.052533,0.112097,0.505017,0.641381
21,23,0.433772,0.509854,0.064873,0.137676,0.53614,0.695925
22,68,0.418508,0.493285,0.071413,0.137262,0.571254,0.726494
2,3,0.253514,0.341436,0.048863,0.116447,0.505173,0.650063
24,131,0.483481,0.551129,0.079471,0.141117,0.573589,0.716635
25,122,0.537116,0.612928,0.009031,0.078882,0.556428,0.7534
26,31,0.420472,0.495897,0.0966,0.169522,0.576585,0.733228
27,121,0.461513,0.539274,0.067289,0.142866,0.541079,0.707444
27,32,0.391988,0.468449,0.094015,0.170558,0.506819,0.647453
28,137,0.429407,0.502388,0.064731,0.124656,0.550909,0.696406
28,30,0.431247,0.500985,0.08517,0.148047,0.597934,0.748436
29,33,0.431276,0.500282,0.071877,0.129341,0.584086,0.726552
29,35,0.389821,0.464749,0.095859,0.165979,0.543561,0.684566
30,137,0.407412,0.482316,0.076369,0.142578,0.547367,0.692737
32,121,0.400551,0.476578,0.101489,0.186418,0.494064,0.633781
33,35,0.387338,0.462416,0.083859,0.14816,0.544668,0.682229
34,161,0.363827,0.474268,0.05174,0.177653,0.40825,0.611332
36,38,0.464716,0.552028,0.057963,0.136045,0.582759,0.802048
36,39,0.388027,0.469162,0.0796,0.156854,0.489741,0.634809
37,150,0.466456,0.543989,0.030286,0.087618,0.615414,0.806511
37,44,0.398618,0.478245,0.088371,0.168734,0.526348,0.683527
38,39,0.409487,0.498986,0.056566,0.14329,0.513325,0.69528
40,42,0.217186,0.298026,0.175586,0.293855,0.318421,0.41066
43,98,0,0.194351,0.050842,769944.276592,0,0.772017
44,150,0.503004,0.584332,0.021131,0.080754,0.696816,0.935397
45,47,0.491339,0.561,0.066615,0.121725,0.695907,0.873264
46,139,0.407821,0.482472,0.103965,0.177335,0.549994,0.69668
4,6,0.439003,0.517412,0.060156,0.133637,0.582211,0.752396
48,49,0.253815,0.370016,0.105485,0.285457,0.318707,0.476902
50,51,0.381094,0.469692,0.092909,0.199473,0.420739,0.568977
5,15,0.449043,0.523785,0.065988,0.134097,0.542398,0.696547
52,54,0.490805,0.562069,0.011926,0.058708,0.585581,0.748531
53,56,0.489077,0.559095,0.067878,0.127321,0.610484,0.770114
55,64,0.390073,0.472173,0.068244,0.149633,0.488765,0.641578
57,79,0.472546,0.543714,0.08628,0.14981,0.636902,0.801341
59,180,0.205383,0.285666,0.145103,0.261861,0.314612,0.405465
60,62,0.4589,0.541434,0.052767,0.133959,0.513996,0.686765
61,108,0.393078,0.470597,0.079512,0.15638,0.550921,0.7062
63,67,0.389891,0.482684,0.036796,0.131492,0.397582,0.548214
65,80,0.432431,0.509511,0.062108,0.130857,0.502901,0.651678
69,71,0.487466,0.557281,0.039612,0.091223,0.678228,0.856047
70,75,0.400419,0.481976,0.076013,0.158556,0.499541,0.653921
74,130,0.219301,0.307241,0.149666,0.266078,0.379599,0.50035
76,166,0.53376,0.599092,0.037676,0.08105,0.755808,0.951312
7,69,0.446657,0.518075,0.06514,0.124511,0.58282,0.731132
7,71,0.406166,0.479369,0.074989,0.145149,0.540617,0.683461
78,82,0.414402,0.485364,0.076141,0.136865,0.581796,0.730025
81,159,0.41706,0.490255,0.087037,0.156876,0.50845,0.646942
84,86,0.157332,0.246636,0.169295,0.325191,0.269128,0.362028
85,106,0.238887,0.373166,0.033787,0.21375,0.33423,0.555581
90,164,0.355672,0.565026,0,0.092517,0.535466,1.22139
91,124,0.243629,0.327597,0.13577,0.249652,0.340136,0.443956
9,11,0.4474,0.51921,0.05926,0.123178,0.551327,0.700278
91,94,0.284357,0.364454,0.102995,0.204966,0.335389,0.437421
94,124,0.446426,0.52445,0.048638,0.112001,0.591559,0.773173
99,144,0.447135,0.546511,0.062723,0.158601,0.586393,0.820302
99,146,0.516193,0.609833,0.000413,0.074243,0.606334,0.870353
