count_depth,average_depth,median_depth
3376,15.395438388625593,13
3339,11.474992512728361,9
3147,6.304416904988878,4
3377,14.778205507847202,12
3381,17.02661934338953,14
3379,18.687185557857354,15
3208,7.148379052369077,5
3387,13.8054325361677,11
3317,9.382876092854989,7
3372,16.177046263345197,13
3336,9.882494004796163,8
3269,9.24288773325176,7
3358,14.309112567004169,12
3338,11.090772917914919,8
3330,10.15045045045045,8
3216,9.19931592039801,6
3376,15.988151658767773,12
3111,7.278367084538734,4
3368,14.592339667458432,13
3370,13.482492581602374,10
3359,11.481690979458172,9
3318,10.229053646775165,7
3359,10.33253944626377,8
3288,8.29470802919708,6
3374,18.212803793716656,16
3352,12.215393794749403,9
3236,8.432323856613102,6
3280,10.728353658536586,7
3382,18.007392075694856,14
3368,17.97060570071259,14
3370,13.226409495548962,11
3364,14.344530321046374,11
3350,13.047164179104477,10
3375,17.48948148148148,14
3382,13.119160260201065,11
3359,12.304852634712713,10
3280,8.198170731707316,6
3338,10.39185140802876,8
2993,5.31874373538256,3
3265,9.93353751914242,7
3358,12.99225729600953,10
3324,10.225330926594465,8
3259,7.819576557226143,6
3359,11.734147067579636,9
3276,6.7905982905982905,5
3371,16.1385345594779,13
3367,12.233739233739234,10
3264,14.747242647058824,12
2430,4.372427983539095,2
3123,6.898495036823567,4
3149,6.726897427754843,4
3232,8.60829207920792,6
3282,8.976234003656307,6
3369,19.38943306619175,16
3319,10.219343175655318,8
3313,9.750980984002414,7
3332,10.121848739495798,7
3366,11.830065359477125,9
3156,6.811153358681876,4
3300,9.173939393939394,6
3177,6.957192319798552,5
3361,13.695328771199048,11
3248,8.378694581280788,6
2746,5.780772032046613,3
3160,7.242405063291139,5
3372,19.173784104389085,16
439,1.9863325740318907,1
3361,11.87503719131211,9
3338,8.665668064709406,7
3371,12.262236725007416,10
3327,8.926059513074842,7
3328,10.032752403846153,8
3317,9.285197467591196,7
3325,10.73624060150376,8
3314,8.089016294508147,6
3173,7.835486920895052,5
3374,16.149377593360995,13
3363,15.721082366934285,13
3365,11.593759286775631,9
3341,17.95689913199641,15
3234,6.5717377860235,5
3340,20.445209580838323,18
3333,14.456645664566457,12
3296,7.795206310679611,6
3253,7.362742084229942,5
3355,11.393740685543964,9
3184,6.244032663316583,4
3183,6.7841658812441095,5
3163,5.725576983876067,4
2785,5.066427289048474,3
3247,6.077610101632276,4
3315,8.492307692307692,6
3268,10.037943696450428,8
3187,4.998431126451208,4
3291,8.028866605894864,6
2907,4.5586515307877535,3
2653,3.2913682623445157,2
3121,5.902595322012176,4
142,2.387323943661972,1
2668,8.158545727136431,5
2684,3.918777943368107,3
197,2.1725888324873095,1
3166,4.849968414403032,3
3072,4.573567708333333,3
3012,4.53253652058433,3
1719,2.7492728330424665,1
1748,3.3255148741418763,2
2408,3.004568106312292,2
3208,6.730049875311721,5
3252,6.2988929889298895,5
1504,2.1496010638297873,1
187,2.037433155080214,1
3221,8.111766532132878,6
3216,6.711442786069652,5
3272,6.960880195599022,5
158,2.6962025316455698,1
200,2.085,1
1787,2.298265249020705,1
2999,4.056018672890963,3
3133,5.472709862751357,4
3315,10.019306184012066,8
3275,8.098320610687022,6
3009,5.298105682951147,3
3317,13.786855592402773,11
3257,8.178692047896838,6
3287,11.763310009126863,9
3317,8.605366294844739,7
3326,9.015333734215274,7
3247,7.914998460117031,5
3339,8.265947888589398,7
3142,5.802355187778485,4
3379,30.621189701095,28
3199,6.567052203813692,4
3208,6.855985037406484,5
2434,3.411257189811011,2
3070,7.930618892508143,5
1671,3.056852184320766,1
3189,13.89557855126999,11
2975,4.768403361344538,3
3351,9.58131900925097,7
2436,3.9027093596059115,2
1481,2.4895340985820393,1
3062,4.135858915741346,3
1593,2.2900188323917137,1
2946,5.628988458927359,4
1945,2.8411311053984574,2
2757,4.618788538266231,3
418,1.944976076555024,1
259,2.2664092664092665,1
3002,5.265489673550966,3
3191,5.564399874647446,4
2664,4.077702702702703,2
2875,3.821913043478261,3
1569,2.713193116634799,1
2887,4.118808451679945,3
138,2.398550724637681,1
3236,8.401112484548825,6
2762,4.831643736422882,3
3287,7.382415576513538,6
3287,10.088226346212352,8
3253,8.8376882877344,6
2211,3.565355042966983,2
2867,3.5762120683641436,2
3374,11.70776526378186,9
966,1.84472049689441,1
3351,9.650253655625187,8
3359,10.26168502530515,8
2441,3.420319541171651,2
3021,4.771929824561403,3
2475,3.6824242424242426,2
3053,4.4998362266623,3
3118,6.3858242463117385,5
2905,4.507056798623064,3
3131,5.485148514851486,4
2692,2.87630014858841,2
2806,4.133642195295795,3
3107,4.086900547151593,3
1696,2.9899764150943398,1
341,2.2492668621700878,1
2949,4.088504577822991,3
3288,9.305656934306569,7
3375,13.484444444444444,11
3346,9.807232516437537,8
3116,7.811296534017972,5
3339,11.570530098831986,10
3033,6.408506429277943,4
2952,5.318766937669377,3
3361,9.572448675989289,8
2583,3.698025551684088,2
3351,10.749925395404357,8
3279,8.019518145776152,6
3147,6.3006037496027965,4
97,2.288659793814433,1
199,2.0954773869346734,1
2578,5.243211792086889,2
2962,6.323092505064146,4
87,2.4597701149425286,1
2714,4.888356669123065,2
165,4.206060606060606,1
3309,8.163191296464188,6
