Sample Number,Sex
1,F
1A,M
1B,M
2,F
2A,F
2B,M
3,F
3A,M
3B,F
4,F
4A,M
4B,M
5,F
5A,M
5B,M
5C,M
6,F
6A,1
6B,F
7,F
7A,F
7B,M
8,F
8A,F
8B,F
9,F
9A,F
9B,F
10,F
10A,M
10B,M
11,F
11A,F
11B,F
12,F
12A,M
12B,F
13,F
13A,M
13B,M
14,F
14A,F
14B,F
15,F
15A,M
15B,M
15C,F
16,F
16A,F
16B,F
17,F
17A,M
17B,F
18,F
18A,M
19,F
19A,M
20,F
20A,F
20B,M
21,F
21A,F
21B,F
22,F
22A,F
22B,M
23,F
23A,M
24,F
24A,F
24B,M
25,F
25A,M
26,F
26A,F
26B,M
27,F
27A,M
27B,F
28,F
28A,M
28B,F
29,F
29A,M
29B,M
29C,F
30,F
30A,M
30B,M
31,F
31A,F
31B,M
32,F
32A,M
32B,M
32C,F
33,F
33A,F
33B,M
33C,F
34,F
34A,F
34B,F
35,F
35A,M
35B,M
35C,F
36,F
36A,M
36B,M
37,F
37A,F
37B,F
38,F
38A,F
38B,M
39,F
39A,F
39B,M
40,F
40A,F
40B,M
41,F
41A,M
41B,M
42,F
42A,M
42B,M
43,F
43A,M
43B,M
44,F
44A,unk
44B,unk
45,F
45A,M
45B,M
46,F
46A,F
46B,F
47,F
47A,F
47B,F
48,F
48A,M
48B,F
49,F
49A,M
49B,F
50,F
50A,F
50B,F
51,F
51A,M
51B,F
52,F
52A,F
52B,F
53,F
53A,F
53B,F
54,F
54A,F
54B,F
54C,M
55,F
55A,M
55B,M
56,F
56A,F
56B,F
57,F
57A,M
57B,M
58,F
58A,M
58B,M
58C,M
59,F
59A,M
59B,M
60,F
60A,F
60B,M
61,F
61A,F
61B,F
61C,M
62,F
62A,M
62B,M
62C,M
63,F
63A,F
63B,M
64,F
64A,M
64B,F
65,F
65A,F
65B,F
66,F
66A,M
66B,M
67,F
67A,F
67B,M
68,F
68A,F
68B,M
